"","cr","dep","yymmdd1","yymmdd2","Lat2","Lat2.1","Long1","Long2","M_avg","C_avg","N_avg","P_avg"
"605",10205,150,20051010,20051014,31.596,31.616,64.164,64.161,64.99,14.35,2.39,0.0022
"606",10205,200,20051010,20051014,31.596,31.616,64.164,64.161,43.24,11.26,1.89,0.0023
"607",10205,300,20051010,20051014,31.596,31.616,64.164,64.161,47.75,9.55,1.33,7e-04
"608",10206,150,20051124,20051126,31.578,31.479,64.18,64.157,48.27,15.09,2.66,0.0042
"609",10206,200,20051124,20051126,31.578,31.479,64.18,64.157,33.98,8.76,1.35,0.0013
"610",10206,300,20051124,20051126,31.578,31.479,64.18,64.157,32.07,7.73,0.94,7e-04
"611",10207,150,20051208,20051211,31.588,31.702,64.164,64.133,34.16,12.49,1.79,0.0012
"612",10207,200,20051208,20051211,31.588,31.702,64.164,64.133,31.64,7.54,0.81,0.0025
"613",10207,300,20051208,20051211,31.588,31.702,64.164,64.133,28.28,7.75,1.18,8e-04
"614",10208,150,20060129,20060131,31.574,31.489,64.166,64.077,187.2,35.62,7.04,0.0109
"615",10208,200,20060129,20060131,31.574,31.489,64.166,64.077,193.22,23.32,3.93,0.0082
"616",10208,300,20060129,20060131,31.574,31.489,64.166,64.077,98.55,13.18,2.03,0.005
"623",10211,150,20060508,20060511,31.662,31.238,64.15,64.101,37.36,9.25,1.71,0.0123
"624",10211,200,20060508,20060511,31.662,31.238,64.15,64.101,52.5,10.47,2.03,0.0104
"625",10211,300,20060508,20060511,31.662,31.238,64.15,64.101,75.83,11.08,2.08,0.0042
"626",10212,150,20060626,20060628,31.669,31.889,64.176,64.462,145.75,39.1,5.71,0.0158
"627",10212,200,20060626,20060628,31.669,31.889,64.176,64.462,127.25,36.39,4.6,0.0113
"628",10212,300,20060626,20060628,31.669,31.889,64.176,64.462,105.89,43.45,5.87,0.0059
"629",10213,150,20060717,20060720,31.563,31.267,64.156,63.966,69.52,22.71,3.8,0.0052
"630",10213,200,20060717,20060720,31.563,31.267,64.156,63.966,50.69,9.89,1.37,0.0042
"631",10213,300,20060717,20060720,31.563,31.267,64.156,63.966,49.53,8.37,1.25,0.0026
"632",10214,150,20060807,20060811,31.581,31.6,64.175,64.586,55.36,16.48,2.47,0.0056
"633",10214,200,20060807,20060811,31.581,31.6,64.175,64.586,49.99,15.15,2.22,0.004
"634",10214,300,20060807,20060811,31.581,31.6,64.175,64.586,32.68,8.09,1.01,0.0027
