CBSeg2003,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
CB1TF ,414533,BAY662,TWQM,MAIN,MDDNR,MDDNR,CB1.1,12/16/2015,11:27:00,6,,,5,B ,D,S1,CHLA,,2.99,UG/L,L01 ,CBL,JJ,,,,39.54794,-76.08481,T3
CB1TF ,414534,BAY662,TWQM,MAIN,MDDNR,MDDNR,CB2.1,12/16/2015,10:51:00,6.5,,,0.5,S ,D,S1,CHLA,,3.471,UG/L,L01 ,CBL,,,,,39.44149,-76.02599,T3
CB1TF ,419891,BAY675,TWQM,MAIN,MDDNR,MDDNR,CB2.1,6/29/2016,10:52:00,6.5,,,5,B ,D,S1,CHLA,,6.141,UG/L,L01 ,CBL,,,,,39.44149,-76.02599,T3
CB1TF ,414534,BAY662,TWQM,MAIN,MDDNR,MDDNR,CB2.1,12/16/2015,10:51:00,6.5,,,5,B ,D,S1,CHLA,,2.492,UG/L,L01 ,CBL,,,,,39.44149,-76.02599,T3
CB1TF ,421955,BAY677,SWM,CMON,MDDNR,MDDNR,XKH2555,7/20/2016,9:00:00,5.4,,,1,BS,D,S1,CHLA,,18.797,UG/L,L01 ,CBL,,,,,39.5404,-76.0736,T3
CB1TF ,414533,BAY662,TWQM,MAIN,MDDNR,MDDNR,CB1.1,12/16/2015,11:27:00,6,,,0.5,S ,D,S1,CHLA,,3.357,UG/L,L01 ,CBL,,,,,39.54794,-76.08481,T3
CB1TF ,419891,BAY675,TWQM,MAIN,MDDNR,MDDNR,CB2.1,6/29/2016,10:52:00,6.5,,,0.5,S ,D,S1,CHLA,,16.287,UG/L,L01 ,CBL,,,,,39.44149,-76.02599,T3
CB1TF ,420681,BAY671,SWM,CMON,MDDNR,MDDNR,XKH0375,4/28/2016,9:45:00,1.3,,,1,BS,D,S1,CHLA,,27.127,UG/L,L01 ,CBL,,,,,39.5053,-76.0414,T3
CB1TF ,421954,BAY677,SWM,CMON,MDDNR,MDDNR,XKH0375,7/20/2016,10:00:00,1.1,,,0.8,BS,D,S1,CHLA,,1.282,UG/L,L01 ,CBL,,,,,39.5053,-76.0414,T3
CB1TF ,422273,BAY675,SWM,CMON,MDDNR,MDDNR,XKH0375,6/24/2016,10:00:00,1,,,0.7,BS,D,S1,CHLA,,3.204,UG/L,L01 ,CBL,,,,,39.5053,-76.0414,T3
CB1TF ,423108,BAY686,TWQM,MAIN,MDDNR,MDDNR,CB1.1,12/14/2016,11:25:00,6,,,0.5,S ,D,S1,CHLA,,3.418,UG/L,L01 ,CBL,,,,,39.54794,-76.08481,T3
CB1TF ,419889,BAY675,TWQM,MAIN,MDDNR,MDDNR,CB1.1,6/29/2016,11:28:00,5,,,4,B ,D,S1,CHLA,,4.486,UG/L,L01 ,CBL,,,,,39.54794,-76.08481,T3
CB1TF ,419889,BAY675,TWQM,MAIN,MDDNR,MDDNR,CB1.1,6/29/2016,11:28:00,5,,,0.5,S ,D,S1,CHLA,,8.117,UG/L,L01 ,CBL,,,,,39.54794,-76.08481,T3
CB1TF ,444589,BAY694,TWQM,MAIN,MDDNR,MDDNR,CB1.1,4/13/2017,11:35:00,6,,,5,B ,D,S1,CHLA,<,0.62,UG/L,L01 ,CBL,,,,,39.54794,-76.08481,T3
CB1TF ,444612,BAY696,TWQM,MAIN,MDDNR,MDDNR,CB2.1,5/11/2017,11:01:00,7.5,,,0.5,S ,D,S1,CHLA,,1.068,UG/L,L01 ,CBL,,,,,39.44149,-76.02599,T3
CB1TF ,423109,BAY686,TWQM,MAIN,MDDNR,MDDNR,CB2.1,12/14/2016,10:45:00,7,,,6,B ,D,S1,CHLA,<,0.62,UG/L,L01 ,CBL,,,,,39.44149,-76.02599,T3
